ID	Directory	CreatedAt	UpdatedAt	Title	Creator	WordsCount	UniqueWordsCount	A1Words	A2Words	B1Words	B2Words	C1Words	C2Words	A1Readability	A2Readability	B1Readability	B2Readability	C1Readability	C2Readability
b8e8adc0	arthur-conan-doyle/the-hound-of-the-baskervilles	2022-10-04	2022-10-04	The Hound of the Baskervilles	Arthur Conan Doyle	27053	3961	459	434	747	892	774	489	58	70	82	91	97	99
d02946ab	arthur-conan-doyle/the-lost-world	2022-10-04	2022-10-04	The Lost World	Arthur Conan Doyle	36703	5415	466	463	807	1153	1201	896	52	65	77	87	94	99
d926bb07	arthur-conan-doyle/the-medal-of-brigadier-gerard	2022-10-04	2022-10-04	The Medal of Brigadier Gerard	Arthur Conan Doyle	749	166	113	25	9	14	2	1	66	83	93	98	98	99
1c796a31	arthur-conan-doyle/the-memoirs-of-sherlock-holmes	2022-10-04	2022-10-04	The Memoirs of Sherlock Holmes	Arthur Conan Doyle	43516	5159	466	478	826	1181	1120	789	59	71	83	92	97	100
b2084899	arthur-conan-doyle/the-return-of-sherlock-holmes	2022-10-04	2022-10-04	The Return of Sherlock Holmes	Arthur Conan Doyle	51980	5470	469	468	863	1228	1222	880	57	70	82	91	97	100
586e6e60	arthur-conan-doyle/the-sign-of-the-four	2022-10-04	2022-10-04	The Sign of the Four	Arthur Conan Doyle	20140	3833	460	430	679	847	742	469	58	69	81	90	96	99
7781072	arthur-conan-doyle/the-valley-of-fear	2022-10-04	2022-10-04	The Valley of Fear	Arthur Conan Doyle	26345	3941	460	451	714	891	767	474	59	70	82	91	97	100
b1a00a9c	arthur-hailey/airport	2022-10-04	2022-10-04	Airport	Arthur Hailey	16467	1435	427	308	304	208	101	53	67	78	88	94	97	100
bb6123a9	arthur-hailey/the-final-diagnosis	2022-10-04	2022-10-04	The Final Diagnosis	Arthur Hailey	32719	3384	451	377	569	677	558	419	60	70	80	89	94	98
7608ba6c	arthur-machen/short-fiction	2022-10-04	2022-10-04	Short Fiction	Arthur Machen	49135	5536	468	483	844	1250	1271	849	61	73	84	91	97	100
f0269813	arthur-machen/the-hill-of-dreams	2022-10-04	2022-10-04	The Hill of Dreams	Arthur Machen	34307	5278	467	464	798	1122	1169	895	51	63	76	87	95	99
4818a726	arthur-machen/the-three-impostors	2022-10-04	2022-10-04	The Three Impostors	Arthur Machen	28398	4786	462	460	783	1054	1067	694	55	67	79	89	96	99
5f9abf62	arthur-w-pinero/the-second-mrs-tanqueray	2022-10-04	2022-10-04	The Second Mrs. Tanqueray	Arthur W. Pinero	10295	2070	437	336	415	394	261	174	67	79	88	94	97	100
2c4dc041	august-strindberg/the-inferno	2022-10-04	2022-10-04	The Inferno	August Strindberg	22329	4552	465	444	759	981	910	647	49	62	75	86	94	98
38dfb0f7	august-strindberg/the-red-room	2022-10-04	2022-10-04	The Red Room	August Strindberg	47519	6007	467	480	884	1314	1404	1007	54	67	78	89	95	99
1ff4239	auguste-comte/a-general-view-of-positivism	2022-10-04	2022-10-04	A General View of Positivism	Auguste Comte	66955	4423	396	326	598	765	986	926	39	53	70	84	93	99
